iter	Passed	Remaining
917	7661	684
918	7669	675
919	7677	667
920	7684	659
921	7691	650
922	7699	642
923	7706	633
924	7713	625
925	7721	617
926	7729	608
927	7736	600
928	7742	591
929	7750	583
930	7758	574
931	7764	566
932	7771	558
933	7778	549
934	7785	541
935	7792	532
936	7799	524
937	7806	516
938	7814	507
939	7821	499
940	7829	490
941	7836	482
942	7843	474
943	7851	465
944	7859	457
945	7867	449
946	7876	440
947	7884	432
948	7891	424
949	7901	415
950	7909	407
951	7917	399
952	7926	390
953	7934	382
954	7942	374
955	7952	366
956	7962	357
957	7971	349
958	7980	341
959	7989	332
960	7998	324
961	8006	316
962	8016	308
963	8026	299
964	8036	291
965	8046	283
966	8055	274
967	8064	266
968	8073	258
969	8084	250
970	8093	241
971	8102	233
972	8112	225
973	8121	216
974	8130	208
975	8139	200
976	8148	191
977	8156	183
978	8167	175
979	8176	166
980	8184	158
981	8193	150
982	8201	141
983	8210	133
984	8219	125
985	8229	116
986	8238	108
987	8246	100
988	8256	91
989	8267	83
990	8276	75
991	8285	66
992	8294	58
993	8302	50
994	8312	41
995	8322	33
996	8329	25
997	8339	16
998	8347	8
999	8356	0
